Rank,Country/region,Real GDP growthrate (%)[1]
1,South Sudan,11.3
2,Rwanda,10.1
3,Libya,9.9
4,Dominica,9.2
5,Ethiopia,9.0
6,Bangladesh,8.2
7,Armenia,7.6
8,Tajikistan,7.5
9,Djibouti,7.5
10,Nepal,7.1
11,Cambodia,7.0
12,Vietnam,7.0
13,Ivory Coast,6.9
14,Myanmar,6.5
15,Benin,6.4
16,Turkmenistan,6.3
17,Tanzania,6.3
18,Ghana,6.1
19,China,6.1
20,Tuvalu,6.0
21,The Gambia,6.0
22,Philippines,5.9
23,Mauritania,5.9
24,Niger,5.8
25,Burkina Faso,5.7
26,Maldives,5.7
27,Guinea,5.6
28,Kenya,5.6
29,Uzbekistan,5.6
30,Egypt,5.6
31,Ireland,5.5
32,Cape Verde,5.5
33,Togo,5.3
34,Senegal,5.3
35,Antigua and Barbuda,5.3
36,Georgia,5.1
37,Sierra Leone,5.1
38,Mali,5.1
39,Mongolia,5.1
40,Dominican Republic,5.1
41,Papua New Guinea,5.0
42,Indonesia,5.0
43,Hungary,4.9
44,Uganda,4.9
45,Madagascar,4.8
46,Laos,4.7
47,Guyana,4.7
48,Guinea-Bissau,4.6
49,Kazakhstan,4.5
50,Malawi,4.5
51,Kyrgyzstan,4.5
52,Malta,4.4
53,Democratic Republic of the Congo,4.4
54,Estonia,4.3
55,Malaysia,4.3
56,India,4.2
57,Serbia,4.2
58,Poland,4.1
59,Romania,4.1
60,Kosovo,4.0
61,Iraq,3.9
62,Lithuania,3.9
63,Seychelles,3.9
64,Brunei,3.9
65,Eritrea,3.8
66,Afghanistan,3.8
67,Cameroon,3.7
68,Montenegro,3.6
69,Moldova,3.6
70,Guatemala,3.6
71,Macedonia,3.6
72,Israel,3.5
73,Mauritius[note 1],3.5
74,American Samoa,3.5
75,Gabon,3.4
76,Bulgaria,3.4
77,Colombia,3.3
78,Cyprus,3.2
79,Ukraine,3.2
80,Grenada,3.1
81,Timor Leste,3.1
82,Panama,3.0
83,Central African Republic,3.0
84,Chad,3.0
85,Botswana,3.0
86,Croatia,2.9
87,Vanuatu,2.9
88,Saint Kitts and Nevis,2.9
89,Somalia,2.9
90,Bolivia,2.8
91,Taiwan,2.7
92,Bosnia and Herzegovina,2.7
93,Honduras,2.7
94,Czech Republic,2.6
95,Slovenia,2.4
96,Marshall Islands,2.4
97,El Salvador,2.4
98,Thailand,2.4
99,Denmark,2.4
100,United States,2.3
101,Suriname,2.3
102,Luxembourg,2.3
103,Kiribati,2.3
104,Sri Lanka,2.3
105,Slovakia,2.3
106,Azerbaijan,2.3
107,Mozambique,2.2
108,Albania,2.2
109,Nigeria,2.2
110,Morocco,2.2
111,Latvia,2.2
112,New Zealand,2.2
113,Peru,2.2
114,Portugal,2.2
115,Yemen,2.1
125,Australia,1.8
117,Costa Rica,2.1
118,South Korea,2.0
119,Jordan,2.0
120,Puerto Rico,2.0
121,Spain[note 2],2.0
122,Iceland,1.9
123,Pakistan,1.9
124,Greece,1.9
125,Comoros,1.9
126,Bahrain,1.8
127,Netherlands,1.8
128,The Bahamas,1.8
129,Burundi,1.8
130,Saint Lucia,1.7
131,Canada,1.6
132,Austria,1.6
133,Zambia,1.5
134,United Kingdom,1.4
135,Belgium,1.4
136,Russia,1.3
137,France,1.3
138,São Tomé and Príncipe,1.3
139,United Arab Emirates,1.3
140,Solomon Islands,1.2
141,Sweden,1.2
142,Belarus,1.2
143,Lesotho,1.2
144,Micronesia,1.2
145,Norway,1.2
146,Brazil,1.1
147,Chile,1.1
148,San Marino,1.1
149,Tunisia,1.0
150,Eswatini,1.0
151,Finland,1.0
152,Jamaica,1.0
153,Nauru,1.0
154,Turkey,0.9
155,Switzerland,0.9
156,Kuwait,0.7
157,Singapore,0.7
158,Algeria,0.7
159,Japan,0.7
160,Germany,0.6
161,Fiji,0.5
162,Palau,0.5
163,Oman,0.5
164,Saint Vincent and the Grenadines,0.4
165,Saudi Arabia,0.3
166,Italy,0.3
167,Belize,0.3
168,Uruguay,0.2
169,Paraguay,0.2
170,South Africa,0.2
171,Qatar,0.1
172,Ecuador,0.1
173,Trinidad and Tobago,0.0
174,Barbados,-0.1
175,Tonga,-0.1
176,Mexico,-0.1
177,Republic of Congo,-0.9
178,Hong Kong,-1.2
179,Haiti,-1.2
180,Namibia,-1.4
181,Angola,-1.5
182,Argentina,-2.2
183,Liberia,-2.5
184,Sudan,-2.5
185,Nicaragua,-3.9
186,Macau,-4.7
187,Equatorial Guinea,-6.1
188,Lebanon,-6.5
189,Iran,-7.6
190,Zimbabwe,-8.3
191,Venezuela,-35.0
192,Syria,N/A
