Country,Real GDP growthrate (%) 2013,Real GDP growthrate (%) 2014,Real GDP growthrate (%) 2015,Real GDP growthrate (%) 2016,Real GDP growthrate (%) 2017,Real GDP growthrate (%) 2018[3],Average GDP growthrate (%) 2013–2018
Afghanistan,3.90,2.69,1.31,2.37,2.60,2.30,2.53
Albania,1.00,1.77,2.22,3.35,3.84,3.90,2.67
Algeria,2.77,3.79,3.76,3.30,1.70,2.50,2.97
Angola,6.81,4.80,3.00,-0.81,0.72,-0.10,2.37
Antigua and Barbuda,-0.10,5.10,4.06,5.34,3.34,3.50,3.52
Argentina,2.41,-2.51,2.73,-1.82,2.86,-2.60,0.15
Armenia,3.30,3.60,3.20,0.20,7.50,5.90,3.92
Australia,2.64,2.58,2.35,2.83,1.96,3.20,2.59
Austria,0.03,0.83,1.09,1.45,3.04,2.80,1.53
Azerbaijan,5.80,2.00,1.10,-3.10,0.10,1.30,1.17
Bahamas,-0.41,-0.15,1.04,-1.69,1.44,2.30,0.41
Bahrain,5.42,4.35,2.86,3.22,3.89,3.20,3.82
Bangladesh,6.01,6.06,6.55,7.11,7.28,7.30,6.72
Barbados,-0.07,0.06,0.90,2.00,1.67,-0.50,0.67
Belarus,1.02,1.72,-3.83,-2.53,2.42,3.90,0.41
Belgium,0.20,1.29,1.43,1.41,1.73,1.50,1.26
Belize,0.71,4.05,3.80,-0.49,0.88,1.80,1.78
Benin,7.19,6.36,2.10,3.97,5.58,6.00,5.19
Bhutan,2.14,5.75,6.60,7.99,6.82,,
Bolivia,6.80,5.46,4.86,4.26,4.20,4.30,4.98
Bosnia and Herzegovina,2.35,1.15,3.08,3.14,3.03,3.20,2.66
Botswana,11.34,4.15,-1.70,4.32,2.36,4.60,4.11
Brazil,3.01,0.51,-3.55,-3.47,0.98,1.40,-0.22
Brunei,-2.13,-2.35,-0.57,-2.47,1.33,2.30,-0.67
Bulgaria,0.86,1.33,3.62,3.94,3.56,3.60,2.81
Burkina Faso,5.79,4.33,3.90,5.93,6.74,5.80,5.41
Burundi,4.59,4.66,-3.92,-0.57,0.52,0.10,0.85
Cambodia,7.36,7.14,7.04,6.95,6.82,6.90,7.03
Cameroon,5.40,5.88,5.65,4.45,3.18,3.70,4.71
Canada,2.48,2.86,1.00,1.41,3.05,2.00,2.13
Cape Verde,0.80,0.61,1.07,3.82,3.89,4.20,2.39
Central African Republic,-36.70,1.04,4.80,4.53,4.30,4.30,-4.42
Chad,5.70,6.90,2.77,-6.26,-2.95,3.50,1.50
Chile,4.05,1.78,2.31,1.27,1.49,3.90,2.46
China,7.76,7.30,6.90,6.70,6.90,6.50,7.01
Colombia,4.87,4.39,3.05,2.04,1.77,2.80,3.15
Comoros,3.50,2.06,1.02,2.20,2.50,2.70,2.33
Costa Rica,2.27,3.52,3.63,4.16,3.19,3.30,3.34
Croatia,-0.65,-0.10,2.35,3.17,2.78,2.80,1.71
Cyprus,-5.93,-1.40,1.98,3.40,3.88,3.90,0.91
